,DATE,BASEL_pleasant_weather,BELGRADE_pleasant_weather,BUDAPEST_pleasant_weather,DEBILT_pleasant_weather,DUSSELDORF_pleasant_weather,HEATHROW_pleasant_weather,KASSEL_pleasant_weather,LJUBLJANA_pleasant_weather,MAASTRICHT_pleasant_weather,MADRID_pleasant_weather,MUNCHENB_pleasant_weather,OSLO_pleasant_weather,SONNBLICK_pleasant_weather,STOCKHOLM_pleasant_weather,VALENTIA_pleasant_weather
18337,2010-03-16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18338,2010-03-17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18339,2010-03-18,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
18340,2010-03-19,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
18341,2010-03-20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18342,2010-03-21,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
18343,2010-03-22,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18344,2010-03-23,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18345,2010-03-24,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0
18346,2010-03-25,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0
18347,2010-03-26,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
18348,2010-03-27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18349,2010-03-28,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
18350,2010-03-29,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
18351,2010-03-30,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
18352,2010-03-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18353,2010-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18354,2010-04-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18355,2010-04-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18356,2010-04-04,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18357,2010-04-05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18358,2010-04-06,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
18359,2010-04-07,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0
18360,2010-04-08,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0
18361,2010-04-09,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
18362,2010-04-10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18363,2010-04-11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18364,2010-04-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18365,2010-04-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18366,2010-04-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18367,2010-04-15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18368,2010-04-16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18369,2010-04-17,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
18370,2010-04-18,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0
18371,2010-04-19,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0
18372,2010-04-20,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0
18373,2010-04-21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
